1960-12-31,8962.148
1961-12-31,7539.352
1962-12-31,9145.498
1963-12-31,8621.117
1964-12-31,13109.525
1965-12-31,15207.049
1966-12-31,14972.361
1967-12-31,16787.526
1968-12-31,27198.139
1969-12-31,21110.919
1970-12-31,18404.673
1971-12-31,19361.76
1972-12-31,18338.667
1973-12-31,21539.958
1974-12-31,20579.204
1975-12-31,20421.523
1976-12-31,20465.527
1977-12-31,20505.864
1978-12-31,20945.904
1979-12-31,22328.363
1980-12-31,22486.044
1981-12-31,22885.747
1982-12-31,22830.742
1983-12-31,25111.616
1984-12-31,25746.007
1985-12-31,28019.547
1986-12-31,27583.174
1987-12-31,28932.63
1988-12-31,30216.08
1989-12-31,29908.052
1990-12-31,28048.883
1991-12-31,28103.888
1992-12-31,30861.472
1993-12-31,26255.72
1994-12-31,27403.491
1995-12-31,27913.204
1996-12-31,33274.358
1997-12-31,34378.125
1998-12-31,31136.497
1999-12-31,32225.596
2000-12-31,33358.699
2001-12-31,33872.079
2002-12-31,34246.113
2003-12-31,37619.753
2004-12-31,40667.03
2005-12-31,43380.61
2006-12-31,45441.464
2007-12-31,46919.265
2008-12-31,51092.311
2009-12-31,55485.377
2010-12-31,61506.591
2011-12-31,64465.86
